"x","nearbycrash","Latitude","Longitude"
1648,2,51.568214,0.542001
1682,3,51.483642,0.26736
1689,2,51.971775,0.215631
1709,2,51.678781,0.12868
1721,2,51.602269,-0.688466
1728,2,51.514684,-0.536342
1732,2,51.602736,-0.690041
1739,3,51.580801,-0.53826
1769,2,51.7404,-1.101303
1772,2,51.610596,-1.10589
1789,2,51.490972,-0.545745
1795,2,51.453453,-0.967776
1803,2,51.429414,-0.848636
1864,2,51.26982,-0.529228
1872,2,51.238388,-0.576215
1888,2,51.424647,-0.570865
1900,2,51.255241,-0.000726
1936,4,51.442236,0.236526
1992,3,51.320843,0.506478
2052,2,51.501308,-0.161149
2053,2,51.505994,-0.214133
2054,2,51.487797,-0.188629
2055,2,51.489716,-0.190569
2057,2,51.518081,-0.0799
2059,4,51.513223,-0.158219
2060,2,51.515823,-0.174978
2061,4,51.512453,-0.149315
2062,6,51.503803,-0.148224
2063,4,51.505983,-0.126953
2064,3,51.521554,-0.161919
2068,3,51.514176,-0.16164
2069,3,51.502418,-0.145975
2070,5,51.51482,-0.145471
2073,3,51.517694,-0.168128
2074,5,51.512082,-0.131603
2078,2,51.536714,-0.142418
2080,4,51.518931,-0.121233
2081,3,51.525565,-0.125573
2083,3,51.515498,-0.224139
2089,2,51.54607,-0.075693
2090,2,51.534574,-0.07661
2091,3,51.526462,-0.064554
2092,2,51.521508,-0.047754
2093,4,51.527886,-0.020521
2094,2,51.510544,-0.026749
2097,5,51.524667,-0.059296
2098,4,51.526072,-0.062696
2106,2,51.602747,0.019268
2110,3,51.608394,0.261873
2111,3,51.608531,0.264046
2123,3,51.427582,-0.133614
2124,3,51.461108,-0.115691
2126,3,51.447879,-0.131923
2127,4,51.482555,-0.124025
2130,2,51.451186,-0.130636
2131,3,51.425557,-0.130676
2134,4,51.497228,-0.10815
2135,4,51.499808,-0.078795
2136,3,51.497226,-0.080344
2138,2,51.491758,-0.098005
2139,2,51.478028,-0.094256
2158,2,51.408448,0.148597
2160,2,51.560892,-0.252812
2163,2,51.535646,-0.297181
2164,3,51.55371,-0.253664
2184,4,51.557741,-0.216723
2195,2,51.491571,-0.296375
2196,3,51.485522,-0.319646
2200,2,51.409269,-0.228402
2203,2,51.477598,-0.145974
2209,5,51.524413,-0.260984
2211,2,51.537685,-0.345411
2214,6,51.523754,-0.265046
2216,3,51.53345,-0.325811
2218,6,51.523686,-0.26649
2225,2,51.575432,-0.469739
2230,2,51.551598,-0.448903
2231,2,51.516628,-0.396187
2244,2,51.374115,-0.096994
2306,2,51.680548,0.120517
2363,4,51.532009,-0.54833
2387,2,51.740681,-1.102746
2409,2,51.781661,-1.556245
2412,2,51.453039,-1.080044
2414,2,51.490628,-0.547052
2418,3,51.504212,-0.599212
2437,2,51.453587,-1.081184
2444,2,51.200143,-1.505605
2452,2,51.199593,-1.503035
2468,2,51.283992,-0.700994
2475,2,51.229085,-0.334733
2477,2,51.315243,-0.335203
2495,2,51.257993,-0.003903
2523,2,51.408443,0.148884
2608,2,51.487745,-0.167889
2610,2,51.509631,-0.085587
2611,3,51.51391,-0.156174
2612,3,51.520624,-0.165704
2613,3,51.548045,-0.075465
2614,3,51.525316,-0.033463
2616,2,51.509065,-0.029696
2622,2,51.5509,0.047984
2626,2,51.395345,0.025933
2629,3,51.554078,-0.212394
2634,2,51.488847,-0.135146
2635,2,51.581172,-0.099614
2636,2,51.588183,-0.099465
2637,6,51.502367,-0.148427
2638,6,51.514573,-0.146923
2640,3,51.521524,-0.200552
2641,3,51.521306,-0.19811
2642,4,51.514132,-0.141752
2643,2,51.502076,-0.158524
2647,5,51.514576,-0.147067
2649,3,51.509541,-0.118881
2650,3,51.502709,-0.153024
2651,4,51.507783,-0.127023
2652,2,51.510887,-0.141308
2654,2,51.533695,-0.324072
2659,2,51.511236,-0.251686
2663,2,51.55383,-0.447673
2664,2,51.52419,-0.14091
2678,2,51.54504,-0.134435
2682,5,51.519016,-0.120941
2690,3,51.546662,0.048659
2713,2,51.588429,-0.103497
2714,2,51.68255,-0.057614
2715,2,51.506413,-0.027072
2716,3,51.612355,-0.109433
2723,2,51.526089,-0.085618
2726,2,51.411571,-0.023681
2728,2,51.495574,-0.100439
2741,3,51.481831,-0.112532
2743,4,51.49294,-0.09882
2746,2,51.49727,-0.099648
2750,4,51.482259,-0.094511
2759,3,51.464592,-0.114252
2763,2,51.485086,-0.333201
2764,2,51.487241,-0.205071
2766,2,51.505859,-0.22898
2770,2,51.423815,-0.162679
2771,3,51.409409,-0.231704
2780,2,51.460734,-0.165804
2781,2,51.511944,-0.382517
2826,2,51.499166,0.231676
2829,2,51.924567,0.934471
2830,2,51.792321,1.151123
2837,2,51.571178,0.542166
2857,2,51.788668,1.153189
2863,2,51.600096,0.564722
2866,3,51.679483,0.124663
2878,2,51.514859,-0.535904
2881,4,51.579983,-0.537565
2883,3,51.60329,-0.691325
2884,2,51.576819,-0.536223
2912,3,51.662391,-0.943805
2943,2,51.452861,-1.080335
2988,2,51.423509,-0.573346
3014,2,51.448759,0.584008
3016,2,51.312641,0.947332
3017,2,51.42928,0.208415
3019,2,51.121006,0.945687
3025,4,51.440458,0.240181
3037,2,51.157891,0.304552
3049,4,51.440439,0.236438
3115,4,51.507785,-0.127167
3117,3,51.516228,-0.132154
3118,2,51.47856,-0.144206
3120,2,51.457379,-0.410212
3121,2,51.603833,0.018883
3123,4,51.489327,-0.131381
3126,2,51.611593,-0.134885
3130,3,51.506014,-0.003456
3140,3,51.531314,-0.010568
3144,3,51.508015,-0.00481
3145,2,51.52485,-0.081345
3149,3,51.50312,0.227114
3161,5,51.526689,-0.061949
3171,5,51.556463,-0.215475
3188,4,51.557254,-0.21429
3203,3,51.554069,-0.165225
3204,2,51.557949,-0.248453
3205,2,51.480333,-0.10885
3212,2,51.545286,-0.219662
3215,2,51.603019,0.019136
3217,4,51.527725,-0.021681
3218,2,51.532716,0.10989
3220,2,51.682285,-0.057915
3221,3,51.612764,-0.106961
3224,2,51.462204,-0.066986
3227,4,51.501149,-0.078306
3229,2,51.393875,0.022562
3231,2,51.373663,-0.096869
3282,2,51.672455,0.095407
3291,2,51.6175,0.115987
3312,2,51.96006,0.971584
3314,2,51.846079,0.724035
3331,2,51.574446,-0.526198
3345,2,51.668447,-0.957402
3347,2,51.782277,-1.552615
3388,3,51.45274,-0.948219
3389,2,51.405387,-1.317646
3430,2,51.314526,-0.335372
3437,2,51.246269,-0.166756
3438,2,51.418479,-0.544595
3453,2,51.433494,0.570628
3461,2,51.433539,0.239842
3484,2,51.406598,0.151386
3542,2,51.529936,-1.751149
3545,3,51.493939,-0.202071
3551,2,51.596481,0.163959
3553,3,51.484141,-0.323729
3554,2,51.375479,-0.097943
3558,3,51.543856,0.049687
3560,2,51.54607,-0.075693
3562,2,51.529994,-0.225305
3565,3,51.576508,-0.07282
3571,2,51.494465,-0.195279
3577,2,51.68256,-0.058193
3580,3,51.460945,-0.116705
3581,2,51.500366,-0.074449
3583,2,51.648255,-0.04477
3587,3,51.517578,-0.065651
3588,2,51.54266,-0.137417
3589,2,51.495205,-0.110971
3595,2,51.612435,-0.177026
3599,2,51.489726,-0.226581
3613,2,51.450409,-0.406856
3614,2,51.532063,-0.310579
3622,3,51.522445,-0.155685
3624,2,51.528699,-0.031443
